GUID,Make,Model,Mileage,Price,First Registration,Fuel Type,Seller
4b5f723a-8cee-4fcc-9a03-baebe0b75b8a,audi,a4,"182,707 km","€ 4,950.-",09/2008,Gasoline,Autohandel Honing
4e9f026d-b6d6-4f1a-8f09-5c8407ea4f68,audi,a4,"273,250 km","€ 8,400.-",06/2013,Diesel,Auto Centrum Bommelerwaard
c7609b24-a5e1-4280-9557-9e284f18310d,audi,tt,"137,528 km","€ 7,900.-",04/2008,Gasoline,PGN bvba
52623fae-552d-4ea1-8a10-7061ee8d27cb,audi,q3,"4,043 km","€ 39,900.-",06/2024,Gasoline,Yprauto
c92ee042-4660-46f4-97f0-77313ba55020,audi,a8,"175,144 km","€ 9,999.-",01/2009,Diesel,Garage des Chaufours SRL
5056d51a-c17c-4adc-b956-5a65f9a7cf75,audi,a4,"282,888 km","€ 3,990.-",10/2006,Diesel,VIP Motors
89b7f463-87cd-4a1f-9407-79ac47a7a47c,audi,a1,"199,998 km","€ 5,945.-",01/2012,Gasoline,Plexat Automotive B.V.
df8d756d-abc5-4d9f-ba71-7273f265580e,audi,tt,"261,347 km","€ 7,300.-",05/2011,Diesel,Carworld.ED
0ee19ee0-a119-4350-a76b-213f2db4b32a,audi,a3,"131,000 km","€ 10,790.-",01/2015,Diesel,MK MOTOR
b2c38f54-fca8-4eae-8692-080e484ee1fc,audi,a2,"126,938 km","€ 1,990.-",03/2003,Gasoline,Horsmans Auto de Locht
5a7cfa2b-7f6d-4edf-af22-8100eb2c7024,audi,a4,"154,197 km","€ 14,899.-",07/2017,Diesel,MYAUTOCENTER OHG
959b76fc-4c7c-4b9b-9dce-54d955842230,audi,a6,"235,095 km","€ 3,950.-",04/2007,Gasoline,Autobedrijf Huisman De Graaf
b994ff38-f5b8-4d05-9917-fd5c408a35ca,audi,a1,"53,820 km","€ 13,950.-",06/2018,Gasoline,Groupe Michaël Mazuin
19fc2df9-5dc4-4cab-b2ee-ff3c6fe7a343,audi,a3,"131,360 km","€ 14,990.-",05/2014,Gasoline,Horsmans Auto de Locht
412c2584-32d0-4dab-8e81-2224e527abd2,audi,a3,"157,132 km","€ 7,999.-",10/2010,Gasoline,Limit Auto's
d1dbf214-ea8a-4ac8-b234-2f4e6006ec92,audi,a3,"354,919 km","€ 2,295.-",06/2006,Gasoline,Luca Cars
14115415-5324-4bec-80d4-4b7d5f7ca8ba,audi,a6,"199,000 km","€ 13,700.-",12/2012,Diesel,GT Car di Tortorici Giuseppe
7e00080f-3322-4a0b-b486-ef991db9ab97,audi,a6,"188,000 km","€ 19,900.-",12/2015,Diesel,Autowelt Korshow
c7609b24-a5e1-4280-9557-9e284f18310d,audi,tt,"137,528 km","€ 7,900.-",04/2008,Gasoline,PGN bvba
1f23b868-e387-4488-8f97-03c7b9ec4d8c,audi,q5,"274,000 km","€ 9,590.-",10/2011,Diesel,URAL-AUTO
af579da5-d771-441c-8087-d238de76e240,audi,a3,"81,801 km","€ 12,950.-",02/2016,Gasoline,Groupe Michaël Mazuin
90b68bdd-99ec-43b6-808e-236200c28b78,audi,a3,"335,700 km","€ 4,650.-",06/2011,Diesel,Jansen Auto's
deffdb64-b885-49ee-8f6f-599ca3d5672b,audi,q8,"128,968 km","€ 41,990.-",07/2019,Gasoline,Astoria Automobile GmbH
6db25448-cdf2-4368-8608-746fd6902380,audi,q3,"137,000 km","€ 19,450.-",02/2017,Diesel,Punto Car srls
53efb5c1-9627-4e86-9802-bf9cd2ae19af,audi,a5,"109,863 km","€ 25,990.-",05/2020,Electric/Gasoline,Provan Motors
9ef5696a-a9c9-4649-ad4b-9f2af5e03a81,audi,a3,"41,239 km","€ 20,750.-",07/2018,Gasoline,Manninck
b55f3a4e-8672-4f3f-a36d-af337c4e8e78,audi,a3,"59,881 km","€ 23,950.-",03/2021,Gasoline,Drive Gent Noord
ace95962-06f3-45e5-bef6-e42d78eb38f9,audi,a3,"194,000 km","€ 4,700.-",06/2012,Diesel,Dimensione Auto Milano Srls
3b07a4b2-d3df-4da4-bf1d-c23789c8a3db,audi,a3,"195,000 km","€ 11,900.-",08/2016,Diesel,Dirk Gärtner Kfz GmbH
