Unnamed: 0,Brand,Model,Mileage,Price,Fuel Type,Car Age
0,audi,a4,"182,707 ","4,950",5,16.0
1,audi,a4,"273,250 ","8,400",1,11.0
2,audi,tt,"137,528 ","7,900",5,16.0
3,audi,q3,"4,043 ","39,900",5,0.0
4,audi,a8,"175,144 ","9,999",1,15.0
5,audi,a4,"282,888 ","3,990",1,17.0
6,audi,a1,"199,998 ","5,945",5,12.0
7,audi,tt,"261,347 ","7,300",1,13.0
8,audi,a3,"131,000 ","10,790",1,9.0
9,audi,a2,"126,938 ","1,990",5,21.0
10,audi,a4,"154,197 ","14,899",1,7.0
11,audi,a6,"235,095 ","3,950",5,17.0
12,audi,a1,"53,820 ","13,950",5,6.0
13,audi,a3,"131,360 ","14,990",5,10.0
14,audi,a3,"157,132 ","7,999",5,13.0
15,audi,a3,"354,919 ","2,295",5,18.0
16,audi,a6,"199,000 ","13,700",1,11.0
17,audi,a6,"188,000 ","19,900",1,8.0
19,audi,q5,"274,000 ","9,590",1,12.0
20,audi,a3,"81,801 ","12,950",5,8.0
21,audi,a3,"335,700 ","4,650",1,13.0
22,audi,q8,"128,968 ","41,990",5,5.0
23,audi,q3,"137,000 ","19,450",1,7.0
24,audi,a5,"109,863 ","25,990",4,4.0
25,audi,a3,"41,239 ","20,750",5,6.0
26,audi,a3,"59,881 ","23,950",5,3.0
27,audi,a3,"194,000 ","4,700",1,12.0
28,audi,a3,"195,000 ","11,900",1,8.0
29,audi,a4,"46,000 ","33,990",5,0.0
30,audi,a4,"223,706 ","5,950",5,13.0
31,audi,q3,"59,000 ","30,999",4,4.0
32,audi,q3,"239,750 ","12,500",1,8.0
33,audi,q5,"143,146 ","16,750",5,12.0
34,audi,a1,"15,000 ","19,990",5,4.0
35,audi,q5,"56,000 ","33,995",1,4.0
36,audi,a1,"229,149 ","8,950",5,11.0
37,audi,q3,"40,000 ","24,950",5,4.0
39,audi,a5,"34,229 ","36,990",5,3.0
41,audi,a4,"98,000 ","23,750",1,4.0
42,audi,tt,"149,000 ","11,900",5,15.0
44,audi,q2,"32,251 ","26,890",1,3.0
45,audi,a1,"31,766 ","11,950",5,7.0
46,audi,a1,"93,123 ","13,995",5,7.0
47,audi,q2,"145,000 ","16,999",1,7.0
48,audi,a3,"58,579 ","17,990",5,4.0
49,audi,q3,"149,992 ","22,499",1,4.0
50,audi,q3,"9,500 ","39,990",5,0.0
51,audi,a6,"243,100 ","8,990",1,11.0
52,audi,a4,"55,494 ","22,100",1,4.0
53,audi,a3,"40,138 ","29,990",5,2.0
54,audi,a4,"71,182 ","10,000",1,16.0
55,audi,rs q3,"152,052 ","19,999",5,10.0
56,audi,a6,"157,428 ","15,490",1,8.0
57,audi,a3,"220,500 ","5,300",5,19.0
59,audi,a1,"102,300 ","12,900",5,11.0
60,audi,a3,"49,250 ","17,990",5,4.0
61,audi,a4,"183,755 ","6,750",5,15.0
62,audi,a3,"156,795 ","13,950",4,8.0
63,audi,a3,"189,896 ","3,990",1,21.0
64,audi,a4,"125,000 ","17,480",1,5.0
65,audi,a4,"238,000 ","4,799",5,16.0
66,audi,a5,"215,329 ","9,999",5,10.0
67,audi,a5,"190,622 ","12,950",5,10.0
68,audi,a3,"223,204 ","10,000",5,10.0
69,audi,a4,"96,462 ","22,900",1,5.0
70,audi,q7,"158,700 ","26,900",1,9.0
71,audi,a3,"174,814 ","8,900",5,13.0
72,audi,a5,"198,721 ","9,999",5,13.0
73,audi,a3,"38,784 ","37,850",4,3.0
74,audi,a5,"115,700 ","19,990",1,8.0
75,audi,a4,"280,000 ","4,990",1,17.0
76,audi,a4,"73,545 ","24,880",5,3.0
77,audi,q2,"172,632 ","14,999",5,5.0
80,audi,a4,"186,370 ","16,999",1,3.0
81,audi,a6,"122,789 ","32,990",1,5.0
82,audi,s3,"72,800 ","23,950",5,10.0
83,audi,a6,"402,642 ","1,480",1,19.0
84,audi,a4 allroad,"133,300 ","22,900",1,6.0
85,audi,tt rs,"19,000 ","19,500",5,2.0
86,audi,a4,"143,556 ","19,990",1,4.0
87,audi,q5,"104,252 ","18,500",1,7.0
88,audi,tt,"294,269 ","3,900",5,20.0
89,audi,q3,"113,835 ","15,500",1,9.0
90,audi,a4,"170,000 ","8,500",1,12.0
91,audi,a6 allroad,"164,424 ","18,999",1,9.0
92,audi,a5,"124,900 ","16,800",1,8.0
93,audi,a4,"108,000 ","21,999",1,4.0
94,audi,a4,"190,000 ","5,490",1,18.0
95,audi,a4,"156,200 ","11,990",1,11.0
96,audi,s6,"79,539 ","39,980",1,4.0
97,audi,q2,"40,000 ","18,950",5,4.0
99,audi,a4,"68,700 ","20,800",1,5.0
100,audi,a4,"80,000 ","24,500",1,4.0
101,audi,a4,"236,000 ","12,990",1,12.0
102,audi,tt,"241,191 ","6,490",5,17.0
103,audi,a3,"160,591 ","8,490",5,13.0
104,audi,a4,"193,100 ","9,990",5,11.0
105,audi,q3,"90,277 ","25,990",4,4.0
106,audi,a7,"313,000 ","13,990",1,13.0
107,audi,a1,"141,750 ","9,490",1,9.0
108,audi,a3,"291,785 ","7,999",5,12.0
109,audi,tt,"129,564 ","8,990",5,20.0
110,audi,a3,"100,000 ","15,900",1,8.0
111,audi,a3,"126,284 ","10,950",5,11.0
112,audi,q3,"136,026 ","25,670",1,4.0
113,audi,a4,"42,750 ","20,980",5,7.0
114,audi,e-tron,"39,800 ","28,740",2,3.0
115,audi,a4,"109,000 ","23,990",1,5.0
116,audi,s5,"139,800 ","23,900",5,9.0
117,audi,a4,"135,000 ","20,900",1,7.0
119,audi,q4 e-tron,"17,780 ","36,990",2,2.0
120,audi,q3,"28,315 ","28,990",5,4.0
121,audi,a3,"39,597 ","25,790",5,3.0
